response,participantID,age,gender,language,amE,comments,expression,cc
0.040000000000000036,61,48,male,English,AmE,""":""""}",AI MC,control
0.25,61,48,male,English,AmE,""":""""}",medial NRRC,cheated on his wife
0.64,61,48,male,English,AmE,""":""""}",be right,broke the plate
0.8,61,48,male,English,AmE,""":""""}",discover,lost his key
0.85,61,48,male,English,AmE,""":""""}",final NRRC,saw the murder
0.9299999999999999,61,48,male,English,AmE,""":""""}",confess,stole the money
0.44999999999999996,61,48,male,English,AmE,""":""""}",confirm,bought a new car
0.6599999999999999,61,48,male,English,AmE,""":""""}",know,ate the last cupcake
1,61,48,male,English,AmE,""":""""}",NAI MC,control
0,52,39,male,English,AmE,""":""""}",AI MC,control
0.9,52,39,male,English,AmE,""":""""}",be right,saw the murder
1,52,39,male,English,AmE,""":""""}",medial NRRC,bought a new car
0.98,52,39,male,English,AmE,""":""""}",know,cheated on his wife
0.16000000000000003,52,39,male,English,AmE,""":""""}",confess,stole the money
0.25,52,39,male,English,AmE,""":""""}",discover,lost his key
0.41000000000000003,52,39,male,English,AmE,""":""""}",final NRRC,broke the plate
1,52,39,male,English,AmE,""":""""}",NAI MC,control
0,52,39,male,English,AmE,""":""""}",confirm,ate the last cupcake
1,76,33,female,English,AmE,""":""""}",be right,stole the money
0,76,33,female,English,AmE,""":""""}",AI MC,control
0.27,76,33,female,English,AmE,""":""""}",confirm,broke the plate
0.73,76,33,female,English,AmE,""":""""}",know,bought a new car
1,76,33,female,English,AmE,""":""""}",NAI MC,control
0.040000000000000036,76,33,female,English,AmE,""":""""}",confess,cheated on his wife
0.78,76,33,female,English,AmE,""":""""}",final NRRC,ate the last cupcake
0.31000000000000005,76,33,female,English,AmE,""":""""}",medial NRRC,saw the murder
0.24,76,33,female,English,AmE,""":""""}",discover,lost his key
1,33,40,female,English,AmE,""":""""}",NAI MC,control
0,33,40,female,English,AmE,""":""""}",know,stole the money
0,33,40,female,English,AmE,""":""""}",AI MC,control
0,33,40,female,English,AmE,""":""""}",discover,bought a new car
0.5,33,40,female,English,AmE,""":""""}",confirm,broke the plate
0.24,33,40,female,English,AmE,""":""""}",final NRRC,lost his key
0.06999999999999995,33,40,female,English,AmE,""":""""}",medial NRRC,cheated on his wife
0.17000000000000004,33,40,female,English,AmE,""":""""}",be right,ate the last cupcake
0.5,33,40,female,English,AmE,""":""""}",confess,saw the murder
