.value	.lower	.upper	first	second	expression
-3.21960415739555	-4.72802264048914	-1.78723742147984	be right	confess	be right
-2.26415709164951	-3.80782832025754	-0.792589338175129	be right	confirm	be right
-1.23402864657019	-2.87740063273819	0.322729272124412	be right	discover	be right
-4.44419995400003	-6.01811211445258	-2.96241937670963	be right	final NRRC	be right
-1.97677970433143	-3.47450129897477	-0.462050984772992	be right	know	be right
-3.42021734835592	-4.98311398449448	-2.0267302521075	be right	medial NRRC	be right
