contrast,.value,.lower,.upper,.width,.point,.interval,first,second
be right - confess,-3.2196041573955525,-4.728022640489142,-1.7872374214798443,0.95,mean,hdi,be right, confess
be right - confirm,-2.264157091649513,-3.8078283202575363,-0.792589338175129,0.95,mean,hdi,be right, confirm
be right - discover,-1.2340286465701895,-2.8774006327381856,0.32272927212441205,0.95,mean,hdi,be right, discover
be right - final NRRC,-4.444199954000029,-6.018112114452577,-2.962419376709632,0.95,mean,hdi,be right, final NRRC
be right - know,-1.9767797043314332,-3.474501298974765,-0.4620509847729919,0.95,mean,hdi,be right, know
be right - medial NRRC,-3.420217348355919,-4.983113984494485,-2.0267302521075075,0.95,mean,hdi,be right, medial NRRC
confess - confirm,0.9554470657460395,0.016063561367877944,1.8880561368939741,0.95,mean,hdi,confess, confirm
confess - discover,1.985575510825363,0.8655585163317546,3.0770939924877556,0.95,mean,hdi,confess, discover
confess - final NRRC,-1.2245957966044774,-2.074744337983815,-0.3658286548928876,0.95,mean,hdi,confess, final NRRC
confess - know,1.2428244530641193,0.28298129081854023,2.17149106219263,0.95,mean,hdi,confess, know
confess - medial NRRC,-0.20061319096036667,-1.0426453984318207,0.6319381255443558,0.95,mean,hdi,confess, medial NRRC
confirm - discover,1.0301284450793233,-0.10497770723984617,2.2016591770611322,0.95,mean,hdi,confirm, discover
confirm - final NRRC,-2.180042862350517,-3.1550750750581598,-1.1980634974265032,0.95,mean,hdi,confirm, final NRRC
confirm - know,0.2873773873180796,-0.6995598026061516,1.3126415300605458,0.95,mean,hdi,confirm, know
confirm - medial NRRC,-1.1560602567064062,-2.1045285604676893,-0.2158587404446821,0.95,mean,hdi,confirm, medial NRRC
discover - final NRRC,-3.21017130742984,-4.358879757908955,-2.0688143577656803,0.95,mean,hdi,discover, final NRRC
discover - know,-0.7427510577612437,-1.9294911015849552,0.42000277237020855,0.95,mean,hdi,discover, know
discover - medial NRRC,-2.1861887017857295,-3.300968279875617,-1.0610470129075333,0.95,mean,hdi,discover, medial NRRC
final NRRC - know,2.4674202496685966,1.44331357278054,3.4308992726853917,0.95,mean,hdi,final NRRC, know
final NRRC - medial NRRC,1.0239826056441108,0.19909286667562387,1.907119696956425,0.95,mean,hdi,final NRRC, medial NRRC
know - medial NRRC,-1.4434376440244858,-2.3769868824776994,-0.47533438738436057,0.95,mean,hdi,know, medial NRRC
