.value	.lower	.upper	first	second	expression
-1.23402864657019	-2.87740063273819	0.322729272124412	be right	discover	discover
1.98557551082536	0.865558516331755	3.07709399248776	confess	discover	discover
1.03012844507932	-0.104977707239846	2.20165917706113	confirm	discover	discover
-3.21017130742984	-4.35887975790895	-2.06881435776568	discover	final NRRC	discover
-0.742751057761244	-1.92949110158496	0.420002772370209	discover	know	discover
-2.18618870178573	-3.30096827987562	-1.06104701290753	discover	medial NRRC	discover
