.value	.lower	.upper	first	second	expression
-2.73488912863932	-3.27347414793209	-2.21734766868024	be right	final NRRC	final NRRC
-1.14064505205618	-1.65497849606627	-0.64496717791349	confess	final NRRC	final NRRC
-1.95278170462869	-2.45680561435339	-1.4507748592877	confirm	final NRRC	final NRRC
-1.1989607795096	-1.70016556476131	-0.692201216557291	discover	final NRRC	final NRRC
0.603663815730905	0.0961998542661142	1.12448532918963	final NRRC	know	final NRRC
-0.0891560189308969	-0.649463955428844	0.465260370073744	final NRRC	medial NRRC	final NRRC
