contrast,.value,.lower,.upper,.width,.point,.interval,first,second
be right - confess,-7.792553019738274e-6,-3.574717796705896e-5,-2.8054882019487425e-5,0.95,mean,hdi,be right, confess
be right - confess,-7.792553019738274e-6,-2.8054877583886087e-5,3.4130882674788024e-5,0.95,mean,hdi,be right, confess
be right - confirm,-7.011820031684205e-6,-3.503574712250158e-5,-1.2653035841153119e-5,0.95,mean,hdi,be right, confirm
be right - confirm,-7.011820031684205e-6,-1.2653024945177182e-5,2.666034918203812e-5,0.95,mean,hdi,be right, confirm
be right - discover,4.659443742196052e-7,-3.222423681242711e-5,-1.5829559044946363e-5,0.95,mean,hdi,be right, discover
be right - discover,4.659443742196052e-7,-1.5819913745112444e-5,2.9126101346140876e-5,0.95,mean,hdi,be right, discover
be right - final NRRC,8.859156138434772e-8,-4.43458649945774e-5,2.436789669106085e-5,0.95,mean,hdi,be right, final NRRC
be right - final NRRC,8.859156138434772e-8,2.4370693849371586e-5,4.376883922554162e-5,0.95,mean,hdi,be right, final NRRC
be right - know,-2.2931622855146733e-5,-7.174529716530434e-5,-1.7827932180747605e-5,0.95,mean,hdi,be right, know
be right - know,-2.2931622855146733e-5,-9.824465702550698e-6,4.650491328303053e-6,0.95,mean,hdi,be right, know
be right - medial NRRC,-1.4130767177231658e-5,-5.246540352920936e-5,-1.1656740143541043e-5,0.95,mean,hdi,be right, medial NRRC
be right - medial NRRC,-1.4130767177231658e-5,-1.1656255521678332e-5,1.300681330374708e-5,0.95,mean,hdi,be right, medial NRRC
confess - confirm,7.807329880530225e-7,-7.470535654344293e-6,-5.519702776489917e-6,0.95,mean,hdi,confess, confirm
confess - confirm,7.807329880530225e-7,7.102813727716271e-7,7.130050280602827e-7,0.95,mean,hdi,confess, confirm
confess - confirm,7.807329880530225e-7,7.166390714708504e-7,1.5401877738532095e-5,0.95,mean,hdi,confess, confirm
confess - discover,8.258497393958513e-6,-1.432858035685871e-5,3.5277485028751926e-06,0.95,mean,hdi,confess, discover
confess - discover,8.258497393958513e-6,3.529810170196826e-6,4.884135931649926e-5,0.95,mean,hdi,confess, discover
confess - final NRRC,7.881144581120837e-6,-8.60257612338947e-6,9.637545887731649e-6,0.95,mean,hdi,confess, final NRRC
confess - final NRRC,7.881144581120837e-6,9.637956183402894e-6,2.5871677935741246e-5,0.95,mean,hdi,confess, final NRRC
confess - know,-1.5139069835407782e-5,-4.3690427323802005e-5,-5.311434253617376e-6,0.95,mean,hdi,confess, know
confess - know,-1.5139069835407782e-5,-5.301928987861208e-6,1.7918585336910618e-5,0.95,mean,hdi,confess, know
confess - medial NRRC,-6.33821415749384e-6,-4.578762470039901e-5,-1.672089778517795e-5,0.95,mean,hdi,confess, medial NRRC
confess - medial NRRC,-6.33821415749384e-6,-1.6720660506716537e-5,-3.911701643639775e-6,0.95,mean,hdi,confess, medial NRRC
confess - medial NRRC,-6.33821415749384e-6,-3.907975068071724e-6,4.1061693550846804e-5,0.95,mean,hdi,confess, medial NRRC
confirm - discover,7.477764405903858e-6,-8.808877267099609e-6,2.8155197606429582e-6,0.95,mean,hdi,confirm, discover
confirm - discover,7.477764405903858e-6,2.861335506472436e-6,3.3439499285731645e-5,0.95,mean,hdi,confirm, discover
confirm - final NRRC,7.100411593066559e-6,-1.0788006325966165e-5,1.7108491677339033e-5,0.95,mean,hdi,confirm, final NRRC
confirm - final NRRC,7.100411593066559e-6,1.7108493022005694e-5,3.1391382059963634e-5,0.95,mean,hdi,confirm, final NRRC
confirm - know,-1.5919802823462397e-5,-5.909229184451937e-5,-2.200985718114172e-5,0.95,mean,hdi,confirm, know
confirm - know,-1.5919802823462397e-5,-2.199532248400275e-5,1.7208140805315126e-5,0.95,mean,hdi,confirm, know
confirm - medial NRRC,-7.118947145548105e-6,-3.831709102264407e-5,1.6098880585483563e-6,0.95,mean,hdi,confirm, medial NRRC
confirm - medial NRRC,-7.118947145548105e-6,1.6117287885220067e-6,2.56598312305767e-5,0.95,mean,hdi,confirm, medial NRRC
discover - final NRRC,-3.773528128359797e-7,-4.4227484913809744e-5,-1.2124374939866324e-5,0.95,mean,hdi,discover, final NRRC
discover - final NRRC,-3.773528128359797e-7,1.2552010737009419e-5,4.0200256523257146e-5,0.95,mean,hdi,discover, final NRRC
discover - know,-2.3397567229369167e-5,-9.25317723509321e-5,-2.4475610029217606e-5,0.95,mean,hdi,discover, know
discover - know,-2.3397567229369167e-5,-2.4469412630248782e-5,1.4397090510612046e-5,0.95,mean,hdi,discover, know
discover - medial NRRC,-1.459671155145154e-5,-4.078284326973914e-5,-2.024757392262129e-5,0.95,mean,hdi,discover, medial NRRC
discover - medial NRRC,-1.459671155145154e-5,-2.0246068976502616e-5,1.0420605872670229e-5,0.95,mean,hdi,discover, medial NRRC
final NRRC - know,-2.3020214416533028e-5,-4.830429388276729e-5,-3.1174345263825786e-5,0.95,mean,hdi,final NRRC, know
final NRRC - know,-2.3020214416533028e-5,-3.11736053229292e-5,2.651861725415268e-5,0.95,mean,hdi,final NRRC, know
final NRRC - medial NRRC,-1.4219358738611674e-5,-5.54255807596637e-5,-8.470825289280234e-6,0.95,mean,hdi,final NRRC, medial NRRC
final NRRC - medial NRRC,-1.4219358738611674e-5,-8.120834030930758e-6,3.644781933923917e-5,0.95,mean,hdi,final NRRC, medial NRRC
know - medial NRRC,8.800855677914206e-6,-3.4637472672304035e-5,-1.630723346872184e-5,0.95,mean,hdi,know, medial NRRC
know - medial NRRC,8.800855677914206e-6,-1.6307232597565105e-5,8.475210224629878e-5,0.95,mean,hdi,know, medial NRRC
