participant_id,trial_type,trial_index,age,gender,language,amE,comments,expression,choice,nResponse,cc
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,7,28,female,English,AmE,""":""""}",discover,"No,",1,ate the last cupcake
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,8,28,female,English,AmE,""":""""}",mnrrc,"No,",1,lost his key
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,9,28,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,cheated on his wife
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,11,28,female,English,AmE,""":""""}",confirm,"No,",1,bought a new car
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,3,37,female,English,AmE,""":""""}",confirm,"No,",1,stole the money
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,4,37,female,English,AmE,""":""""}",discover,"No,",1,cheated on his wife
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,5,37,female,English,AmE,""":""""}",be right,"No,",1,ate the last cupcake
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,7,37,female,English,AmE,""":""""}",mnrrc,"No,",1,broke the plate
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,8,37,female,English,AmE,""":""""}",know,"No,",1,lost his key
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,9,37,female,English,AmE,""":""""}",confess,"No,",1,saw the murder
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,11,37,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,bought a new car
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,4,19,male,English,AmE,""":""""}",mnrrc,"No,",1,saw the murder
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,5,19,male,English,AmE,""":""""}",know,"No,",1,bought a new car
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,6,19,male,English,AmE,""":""""}",confess,"No,",1,broke the plate
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,7,19,male,English,AmE,""":""""}",discover,"No,",1,cheated on his wife
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,8,19,male,English,AmE,""":""""}",be right,"No,",1,stole the money
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,9,19,male,English,AmE,""":""""}",confirm,"No,",1,ate the last cupcake
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,10,19,male,English,AmE,""":""""}",fnrrc,"No,",1,lost his key
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,4,47,male,English,AmE,""":""""}",discover,"No,",1,ate the last cupcake
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,6,47,male,English,AmE,""":""""}",confirm,"No,",1,bought a new car
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,7,47,male,English,AmE,""":""""}",be right,"No,",1,lost his key
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,8,47,male,English,AmE,""":""""}",mnrrc,"No,",1,cheated on his wife
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,9,47,male,English,AmE,""":""""}",confess,"No,",1,broke the plate
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,10,47,male,English,AmE,""":""""}",know,"No,",1,saw the murder
78db6136-1468-4c5c-a348-aff0390e7e2b,survey-multi-choice,11,47,male,English,AmE,""":""""}",fnrrc,"Yes, but",0,stole the money
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,3,50,female,English,AmE,""":""""}",confess,"No,",1,stole the money
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,4,50,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,cheated on his wife
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,6,50,female,English,AmE,""":""""}",discover,"No,",1,ate the last cupcake
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,7,50,female,English,AmE,""":""""}",know,"No,",1,saw the murder
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,9,50,female,English,AmE,""":""""}",be right,"No,",1,lost his key
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,10,50,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,broke the plate
105ea499-4929-482d-ae97-8b14ea4b2808,survey-multi-choice,11,50,female,English,AmE,""":""""}",confirm,"No,",1,bought a new car
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,3,32,male,English,AmE,""":""""}",discover,"No,",1,lost his key
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,4,32,male,English,AmE,""":""""}",confess,"Yes, but",0,ate the last cupcake
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,6,32,male,English,AmE,""":""""}",fnrrc,"Yes, but",0,bought a new car
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,7,32,male,English,AmE,""":""""}",mnrrc,"Yes, but",0,broke the plate
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,8,32,male,English,AmE,""":""""}",know,"Yes, but",0,cheated on his wife
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,10,32,male,English,AmE,""":""""}",be right,"No,",1,stole the money
3aa6a065-410c-4d11-a6f7-bec91dd9234a,survey-multi-choice,11,32,male,English,AmE,""":""""}",confirm,"Yes, but",0,saw the murder
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,3,22,female,English,AmE,""":""""}",be right,"Yes, and",0,saw the murder
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,4,22,female,English,AmE,""":""""}",discover,"Yes, but",0,bought a new car
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,5,22,female,English,AmE,""":""""}",confirm,"No,",1,cheated on his wife
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,6,22,female,English,AmE,""":""""}",confess,"No,",1,stole the money
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,7,22,female,English,AmE,""":""""}",mnrrc,"No,",1,broke the plate
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,9,22,female,English,AmE,""":""""}",know,"No,",1,ate the last cupcake
1fe1e6f4-dd71-4f7c-b270-1475e039140d,survey-multi-choice,11,22,female,English,AmE,""":""""}",fnrrc,"No,",1,lost his key
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,5,29,female,English,AmE,""":""""}",know,"No,",1,ate the last cupcake
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,6,29,female,English,AmE,""":""""}",confirm,"No,",1,stole the money
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,7,29,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,cheated on his wife
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,8,29,female,English,AmE,""":""""}",confess,"Yes, but",0,broke the plate
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,9,29,female,English,AmE,""":""""}",mnrrc,"No,",1,lost his key
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,10,29,female,English,AmE,""":""""}",discover,"Yes, but",0,saw the murder
dd25b5ef-2cdf-453f-8a1a-846cdef05bfe,survey-multi-choice,11,29,female,English,AmE,""":""""}",be right,"No,",1,bought a new car
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,3,26,male,English,AmE,""":""""}",confess,"Yes, but",0,cheated on his wife
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,4,26,male,English,AmE,""":""""}",know,"No,",1,ate the last cupcake
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,5,26,male,English,AmE,""":""""}",confirm,"No,",1,saw the murder
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,6,26,male,English,AmE,""":""""}",fnrrc,"Yes, but",0,bought a new car
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,7,26,male,English,AmE,""":""""}",mnrrc,"Yes, but",0,broke the plate
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,8,26,male,English,AmE,""":""""}",be right,"No,",1,stole the money
