.value	.lower	.upper	first	second	expression
0.466862017157976	0.161741507158527	0.793710206423925	be right	medial NRRC	medial NRRC
-0.175340707392872	-0.489915066327212	0.135834288733143	confess	medial NRRC	medial NRRC
-0.651301387734406	-0.951141037107672	-0.338800633446486	confirm	medial NRRC	medial NRRC
-0.328259107418754	-0.671739868797298	-0.0187174409411431	discover	medial NRRC	medial NRRC
0.0276111458928235	-0.289886006481812	0.333729666455176	final NRRC	medial NRRC	medial NRRC
-0.148542638209422	-0.438765606008959	0.135865059419085	know	medial NRRC	medial NRRC
