contrast,.value,.lower,.upper,.width,.point,.interval,first,second
be right - confess,-0.24581884107279586,-0.6006641232217852,0.10459286985647523,0.95,mean,hdi,be right, confess
be right - confirm,0.018264534193951156,-0.3356239432870513,0.3630383281059976,0.95,mean,hdi,be right, confirm
be right - discover,-0.16697601637085746,-0.5331334962039324,0.22001826559349147,0.95,mean,hdi,be right, discover
be right - final NRRC,-0.5516889154683596,-0.9140424383474491,-0.17752595847257377,0.95,mean,hdi,be right, final NRRC
be right - know,-0.021304636911208933,-0.38819085045501533,0.3205327210067094,0.95,mean,hdi,be right, know
be right - medial NRRC,-0.6897637080237335,-1.061358665601594,-0.324830735306647,0.95,mean,hdi,be right, medial NRRC
confess - confirm,0.26408337526674713,-0.07786637266206553,0.5891264893412123,0.95,mean,hdi,confess, confirm
confess - discover,0.0788428247019384,-0.29574324116188266,0.4145906691759805,0.95,mean,hdi,confess, discover
confess - final NRRC,-0.3058700743955637,-0.6490218710962926,0.052232355891149274,0.95,mean,hdi,confess, final NRRC
confess - know,0.2245142041615869,-0.11102422439903975,0.5592552519640794,0.95,mean,hdi,confess, know
confess - medial NRRC,-0.4439448669509376,-0.8007296481163649,-0.10130690767411954,0.95,mean,hdi,confess, medial NRRC
confirm - discover,-0.1852405505648087,-0.5400021782769675,0.17459385667786795,0.95,mean,hdi,confirm, discover
confirm - final NRRC,-0.5699534496623108,-0.9323249966437167,-0.21526818237047163,0.95,mean,hdi,confirm, final NRRC
confirm - know,-0.03956917110516021,-0.3958757541676372,0.28411561222460086,0.95,mean,hdi,confirm, know
confirm - medial NRRC,-0.7080282422176847,-1.0600833850897684,-0.363643733471419,0.95,mean,hdi,confirm, medial NRRC
discover - final NRRC,-0.3847128990975021,-0.7593270904675479,-0.013317856941636744,0.95,mean,hdi,discover, final NRRC
discover - know,0.1456713794596486,-0.2162393925845988,0.5017650743812327,0.95,mean,hdi,discover, know
discover - medial NRRC,-0.522787691652876,-0.8811260236904848,-0.13644897855140237,0.95,mean,hdi,discover, medial NRRC
final NRRC - know,0.5303842785571506,0.1691765193329721,0.8920625069872554,0.95,mean,hdi,final NRRC, know
final NRRC - medial NRRC,-0.13807479255537392,-0.4878093172586478,0.24356411208437506,0.95,mean,hdi,final NRRC, medial NRRC
know - medial NRRC,-0.6684590711125246,-1.0352149180623007,-0.31563271106155544,0.95,mean,hdi,know, medial NRRC
