contrast,.value,.lower,.upper,.width,.point,.interval,first,second
be right - confess,-0.6468575218686856,-1.0024294830150045,-0.3052904053488744,0.95,mean,hdi,be right, confess
be right - confirm,-1.1227866492888687,-1.4652135341281005,-0.7751840554074247,0.95,mean,hdi,be right, confirm
be right - discover,-0.7985763512078039,-1.1276990284580606,-0.4521183723383541,0.95,mean,hdi,be right, discover
be right - final NRRC,-0.44507825883709795,-0.7795103541935148,-0.11194450457352059,0.95,mean,hdi,be right, final NRRC
be right - know,-0.6163205993113544,-0.9081488538392163,-0.31133317936215366,0.95,mean,hdi,be right, know
be right - medial NRRC,-0.46968893672679235,-0.7950150649302925,-0.15475299722818336,0.95,mean,hdi,be right, medial NRRC
confess - confirm,-0.4759291274201831,-0.7833446699430943,-0.1422473023878722,0.95,mean,hdi,confess, confirm
confess - discover,-0.15171882933911832,-0.487369671732958,0.18324000236076352,0.95,mean,hdi,confess, discover
confess - final NRRC,0.20177926303158764,-0.1192143217368836,0.5330441691201802,0.95,mean,hdi,confess, final NRRC
confess - know,0.03053692255733121,-0.2690936873773474,0.34967981383249125,0.95,mean,hdi,confess, know
confess - medial NRRC,0.17716858514189324,-0.13937443493509621,0.48648626278965146,0.95,mean,hdi,confess, medial NRRC
confirm - discover,0.3242102980810648,0.01054130591007431,0.6513010177802689,0.95,mean,hdi,confirm, discover
confirm - final NRRC,0.6777083904517707,0.3724962641167067,1.017304470419897,0.95,mean,hdi,confirm, final NRRC
confirm - know,0.5064660499775143,0.19492889450649661,0.8119483493825449,0.95,mean,hdi,confirm, know
confirm - medial NRRC,0.6530977125620763,0.3431403717717728,0.9672124038519202,0.95,mean,hdi,confirm, medial NRRC
discover - final NRRC,0.35349809237070595,0.016715139890521615,0.6840477464550997,0.95,mean,hdi,discover, final NRRC
discover - know,0.18225575189644952,-0.12972652199559948,0.49232657713789085,0.95,mean,hdi,discover, know
discover - medial NRRC,0.32888741448101155,-0.010034592277258324,0.6390236426092898,0.95,mean,hdi,discover, medial NRRC
final NRRC - know,-0.17124234047425643,-0.4850833486992301,0.129252749821231,0.95,mean,hdi,final NRRC, know
final NRRC - medial NRRC,-0.0246106778896944,-0.33055461919518075,0.29678011009855243,0.95,mean,hdi,final NRRC, medial NRRC
know - medial NRRC,0.14663166258456203,-0.15621881711474708,0.4339241458624179,0.95,mean,hdi,know, medial NRRC
