response,participantID,age,gender,language,amE,comments,expression,cc
0.5700000000000001,38,54,female,English,AmE,""":""""}",be right,broke the plate
0.32999999999999996,38,54,female,English,AmE,""":""""}",controlGood,control
0.36,38,54,female,English,AmE,""":""""}",know,lost his key
0.44999999999999996,38,54,female,English,AmE,""":""""}",confirm,saw the murder
0.6599999999999999,38,54,female,English,AmE,""":""""}",confess,ate the last cupcake
0.31000000000000005,38,54,female,English,AmE,""":""""}",discover,stole the money
0.39,38,54,female,English,AmE,""":""""}",final NRRC,bought a new car
0.65,38,54,female,English,AmE,""":""""}",controlBad,control
0.43999999999999995,38,54,female,English,AmE,""":""""}",medial NRRC,cheated on his wife
0.26,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",discover,lost his key
1,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",controlBad,control
0,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",medial NRRC,saw the murder
0.18000000000000005,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",confirm,bought a new car
0.16000000000000003,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",be right,cheated on his wife
0.21999999999999997,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",controlGood,control
0.17000000000000004,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",know,ate the last cupcake
0.13,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",confess,broke the plate
0.13,27,372,male,English,AmE,""":""I couldn't figure out if I was judging on the harshness of the rejection or the naturalness of the rejection. Which are 2 different things to me. Thank you,""}",final NRRC,stole the money
1,59,58,female,English,AmE,""":""""}",controlBad,control
0,59,58,female,English,AmE,""":""""}",confirm,stole the money
0,59,58,female,English,AmE,""":""""}",confess,saw the murder
0,59,58,female,English,AmE,""":""""}",know,broke the plate
0.050000000000000044,59,58,female,English,AmE,""":""""}",controlGood,control
0,59,58,female,English,AmE,""":""""}",medial NRRC,bought a new car
0,59,58,female,English,AmE,""":""""}",final NRRC,cheated on his wife
0.5,59,58,female,English,AmE,""":""""}",be right,ate the last cupcake
0.10999999999999999,59,58,female,English,AmE,""":""""}",discover,lost his key
0.30000000000000004,54,27,female,English,AmE,""":""""}",be right,cheated on his wife
0.30000000000000004,54,27,female,English,AmE,""":""""}",know,stole the money
0.37,54,27,female,English,AmE,""":""""}",confirm,lost his key
0.35,54,27,female,English,AmE,""":""""}",confess,saw the murder
0.61,54,27,female,English,AmE,""":""""}",medial NRRC,ate the last cupcake
0.050000000000000044,54,27,female,English,AmE,""":""""}",controlGood,control
0.39,54,27,female,English,AmE,""":""""}",discover,bought a new car
1,54,27,female,English,AmE,""":""""}",controlBad,control
0,54,27,female,English,AmE,""":""""}",final NRRC,broke the plate
0.09999999999999998,60,41,female,English,AmE,""":""""}",know,stole the money
0.38,60,41,female,English,AmE,""":""""}",be right,saw the murder
1,60,41,female,English,AmE,""":""""}",controlBad,control
0.20999999999999996,60,41,female,English,AmE,""":""""}",confess,lost his key
0,60,41,female,English,AmE,""":""""}",controlGood,control
0.29000000000000004,60,41,female,English,AmE,""":""""}",discover,broke the plate
0.22999999999999998,60,41,female,English,AmE,""":""""}",medial NRRC,ate the last cupcake
0.22999999999999998,60,41,female,English,AmE,""":""""}",final NRRC,cheated on his wife
0.31999999999999995,60,41,female,English,AmE,""":""""}",confirm,bought a new car
0.19999999999999996,1,36,male,English,AmE,""":""""}",medial NRRC,ate the last cupcake
1,1,36,male,English,AmE,""":""""}",controlBad,control
0.20999999999999996,1,36,male,English,AmE,""":""""}",discover,stole the money
0,1,36,male,English,AmE,""":""""}",final NRRC,bought a new car
0,1,36,male,English,AmE,""":""""}",know,broke the plate
0.19999999999999996,1,36,male,English,AmE,""":""""}",confess,saw the murder
0.21999999999999997,1,36,male,English,AmE,""":""""}",be right,lost his key
0.16000000000000003,1,36,male,English,AmE,""":""""}",confirm,cheated on his wife
0.17000000000000004,1,36,male,English,AmE,""":""""}",controlGood,control
0.79,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",controlBad,control
0,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",be right,ate the last cupcake
0.09999999999999998,7,34,female,English,AmE,""":""This one was tough. I would have done better if I had first seen examples of natural rejections vs unnatural although maybe that would have defeated the purpose. There were some I felt I would have rated lower had I seen them in a different order or if I had had the option to go back and change answers. ""}",know,broke the plate
