response,trial_index,trial_type,participantID,age,gender,language,amE,comments,expression,cc
0.88,3,html-slider-response,22,46,male,English,AmE,""":""""}",confess,saw the murder
0.09,6,html-slider-response,22,46,male,English,AmE,""":""""}",mnrrc,broke the plate
0.95,7,html-slider-response,22,46,male,English,AmE,""":""""}",discover,ate the last cupcake
0.8,8,html-slider-response,22,46,male,English,AmE,""":""""}",be right,cheated on his wife
0.37,9,html-slider-response,22,46,male,English,AmE,""":""""}",know,lost his key
0.5,10,html-slider-response,22,46,male,English,AmE,""":""""}",confirm,stole the money
0.16,11,html-slider-response,22,46,male,English,AmE,""":""""}",fnrrc,bought a new car
1,3,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",confirm,bought a new car
1,4,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",discover,saw the murder
0,6,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",mnrrc,stole the money
0,7,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",fnrrc,lost his key
0,8,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",confess,broke the plate
1,10,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",be right,cheated on his wife
0,11,html-slider-response,73,22,preferNoToSay,English,AmE,""":""""}",know,ate the last cupcake
0,3,html-slider-response,66,38,female,English,AmE,""":""None""}",mnrrc,saw the murder
0,5,html-slider-response,66,38,female,English,AmE,""":""None""}",know,stole the money
1,6,html-slider-response,66,38,female,English,AmE,""":""None""}",confirm,broke the plate
1,8,html-slider-response,66,38,female,English,AmE,""":""None""}",be right,bought a new car
0,9,html-slider-response,66,38,female,English,AmE,""":""None""}",discover,lost his key
0.28,10,html-slider-response,66,38,female,English,AmE,""":""None""}",confess,ate the last cupcake
0,11,html-slider-response,66,38,female,English,AmE,""":""None""}",fnrrc,cheated on his wife
0,3,html-slider-response,1,41,female,English,AmE,""":""N/A""}",confirm,lost his key
1,4,html-slider-response,1,41,female,English,AmE,""":""N/A""}",be right,cheated on his wife
0,6,html-slider-response,1,41,female,English,AmE,""":""N/A""}",know,bought a new car
0,7,html-slider-response,1,41,female,English,AmE,""":""N/A""}",mnrrc,saw the murder
0,8,html-slider-response,1,41,female,English,AmE,""":""N/A""}",confess,ate the last cupcake
0,9,html-slider-response,1,41,female,English,AmE,""":""N/A""}",fnrrc,stole the money
0,11,html-slider-response,1,41,female,English,AmE,""":""N/A""}",discover,broke the plate
1,3,html-slider-response,55,34,male,English,AmE,""":""""}",confess,stole the money
0,4,html-slider-response,55,34,male,English,AmE,""":""""}",fnrrc,bought a new car
1,5,html-slider-response,55,34,male,English,AmE,""":""""}",confirm,cheated on his wife
0.5,6,html-slider-response,55,34,male,English,AmE,""":""""}",be right,lost his key
0,7,html-slider-response,55,34,male,English,AmE,""":""""}",mnrrc,broke the plate
0.49,8,html-slider-response,55,34,male,English,AmE,""":""""}",know,ate the last cupcake
0.51,11,html-slider-response,55,34,male,English,AmE,""":""""}",discover,saw the murder
1,3,html-slider-response,68,36,female,English,AmE,""":""This was an interesting study.""}",be right,saw the murder
0,5,html-slider-response,68,36,female,English,AmE,""":""This was an interesting study.""}",fnrrc,ate the last cupcake
0,6,html-slider-response,68,36,female,English,AmE,""":""This was an interesting study.""}",confess,lost his key
0,7,html-slider-response,68,36,female,English,AmE,""":""This was an interesting study.""}",mnrrc,broke the plate
0.67,8,html-slider-response,68,36,female,English,AmE,""":""This was an interesting study.""}",confirm,stole the money
