.value	.lower	.upper	first	second	expression
-0.689763708023734	-1.06135866560159	-0.324830735306647	be right	medial NRRC	medial NRRC
-0.443944866950938	-0.800729648116365	-0.10130690767412	confess	medial NRRC	medial NRRC
-0.708028242217685	-1.06008338508977	-0.363643733471419	confirm	medial NRRC	medial NRRC
-0.522787691652876	-0.881126023690485	-0.136448978551402	discover	medial NRRC	medial NRRC
-0.138074792555374	-0.487809317258648	0.243564112084375	final NRRC	medial NRRC	medial NRRC
-0.668459071112525	-1.0352149180623	-0.315632711061555	know	medial NRRC	medial NRRC
